Course,Sec,Enrolled,Instructor(1),Instructor(2),Time,Place,TA's
EE 20N,1,UNKNOWN,Thomas Courtade,David Tse,TuTh 1230-2P,105 Stanley, 
EE 40,1,429,Michel Maharbiz,"",MWF 10-11A,Wheeler, 
EE 105,1,54,"Allstot, David","",MWF 1-2P,150 GSPP, 
EE 117,1,14,Constance Chang-Hasnain,"",MW 4-530P,299 Cory, 
EE 118,1,22,Laura Waller,"",WF 1-230P,521 Cory, 
EE 120,1,73,Ronald S. Fearing,"",MW 4-6P,390 Hearst Annex, 
EE 122,1,71,"Parekh, S.","",TuTh 5-630P,3106 Etcheverry, 
EE 123,1,61,Michael Lustig,"",MWF 3-4P,155 Donner, 
EE 126,1,37,Jean Walrand,"",TuTh 930-11A,285 Cory, 
EE 127,1,69,Laurent El Ghaoui,"",TuTh 1230-2P,145 Moffitt, 
EE C128,1,35,Jose M. Carmena,"",TuTh 8-930A,145 Moffitt
EE 130,1,34,Sayeef Salahuddin,"",TuTh 330-5P,241 Cory, 
EE 134,1,15,Ana Claudia Arias,"",WF 930-11A,299 Cory, 
EE 137B,1,17,Alexandra von Meier,"",TuTh 930-11A,521 Cory, 
EE 140,1,22,"Stojanovic, V.","",MWF 1-2P,247 Cory, 
EE 143,1,46,Ali Javey,"",TuTh 11-1230P,289 Cory, 
EE 145O,1,UNKNOWN,Robert Full,"",TuTh 2-5P,1099 VLSB, 
EE 192,1,30,Ronald S. Fearing,"",Tu 11-1230P,293 Cory, 
EE 218A,1,16,Laura Waller,"",WF 1-230P,521 Cory, 
EE 219D,1,UNKNOWN,Edward A. Lee,"",TuTh 2-330P,293 Cory
EE 222,1,19,Murat Arcak,"",TuTh 930-11A,293 Cory
EE 225A,1,16,Kannan Ramchandran,"",TuTh 1230-2P,293 Cory
EE 225B,1,16,Avideh Zakhor,"",TuTh 11-1230P,521 Cory
EE 225D,1,13,Nelson Morgan,"",MW 4-530P,Off Campus
EE 225E,1,UNKNOWN,Michael Lustig,"",MWF 1-2P,293 Cory
EE 227AT,1,18,Laurent El Ghaoui,"",TuTh 1230-2P,145 Moffitt, 
EE 228A,1,6,Jean Walrand,"",TuTh 2-330P,521 Cory
EE 230A,1,2,Sayeef Salahuddin,"",TuTh 330-5P,241 Cory, 
EE 230B,1,27,Vivek Subramanian,"",TuTh 930-11A,540AB Cory, 
EE 240A,1,7,"Stojanovic, V.","",MWF 1-2P,247 Cory, 
EE 240B,1,26,Borivoje Nikolic,"",TuTh 930-11A,540AB Cory
EE 241B,1,18,Jan M. Rabaey,"",MW 230-4P,531 Cory
EE 243,1,15,Costas J. Spanos,"",TuTh 1230-2P,299 Cory
EE C247B,1,27,Clark Nguyen,"",TuTh 330-5P,540AB Cory
EE 290A,1,5,Jaijeet Roychowdhury,"",MW 1-230P,299 Cory
EE 290C,1,12,Sriram Sundararajan,"",F 2-4P,299 Cory
EE 290F,1,7,Ming C. Wu,"",MW 10-1130A,293 Cory
EE 290O,1,2,S. Shankar Sastry,Pushkin Kachroo,MW 4-530P,240 Bechtel
EE 290T,1,11,"Uecker, M","",M 10-1130A,299 Cory
EE C291,1,4,Alexandre Bayen,"",TuTh 330-5P,544 Davis
EE 291E,1,UNKNOWN,Claire Tomlin,"",TuTh 2-330P,240 Bechtel
EE 375,1,14,Vivek Subramanian,"",M 5-6p,540A/B Cory
